"papel","segmento","cotacao","ffo_yield","dividend_yield","p_vp","valor_de_mercado","liquidez","qtd_de_imoveis","preco_do_m2","aluguel_por_m2","cap_rate","vacancia_media","endereco","data_atualizacao"
"AAZQ11","Títulos e Val. Mob.",9.37,0.61,5.26,0.97,225229000,682228,0,0,0,0,0,"","2023-04-13 00:29:07"
"ABCP11","Shoppings",64.39,24.59,9.29,0.7,303218000,51894,1,3970.41,1294.47,32.6,2.76,"Avenida Industrial, 600, Centro, Santo André - SP","2023-04-13 00:29:07"
"AEFI11","Outros",174.9,7.56,0,1.21,407937000,0,8,3762,286.88,7.63,0,"Avenida São Luís Rei de França, 32, Turu - São Luís/MA,Rua Timbiras, 1387, Funcionários - Belo Horizonte/MG,Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP,Av. Dr. Rudge Ramos, nº 1.501 - São Bernardo do Campo/SP,Rua Jequitibá, 401, Horto - Ipatinga/MG,Avenida Presidente Juscelino Kubitschek, n° 227/229 e 247, Centro - Betim/MG,Rua Senador Fláquer, 456 - Centro - Santo André-SP,Avenida Beira Rio, 3.001, Jardim Europa - Cuiabá/MT","2023-04-13 00:29:07"
"AFCR11","Híbrido",103.15,11.23,0,0.99,186437000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"AFHI11","Títulos e Val. Mob.",92.51,9.56,14.86,0.98,279330000,649380,0,0,0,0,0,"","2023-04-13 00:29:07"
"AFOF11","Títulos e Val. Mob.",91.6,12.45,5.74,1.01,63313200,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"AGCX11","Outros",1235.5,0.9,0,11.41,14317200000,0,78,105654,1113.04,1.05,7,"Av. Barão de Itapura, nº 2233 - Campinas - SP,Rua 12, 239 - RJ,Rua. Sem. Flaquer, 305 - SP,Av. Senador Queiroz, nº 85 a 111 - Lj 4 e 5 - São Paulo - SP,Estrada de Itapecerica, nº 3.429 - São Paulo - SP,Rua dos Italianos, 609 - São Paulo - SP,Av. Marechal Floriano Peixoto, nº 2.370 - N Iguaçu - RJ,Rua Dr. Nilo Peçanha, nº 125 - São Gonçalo - RJ,Av. Padre Antônio Jose Dos Santos, nº 872 - São Paulo - SP,Av. Paulista, 436 - SP,R Mal Deodoro 195 - PR,Rua Imp. Dom Pedro II, 255 - PE,Praça Pio X, 78 - RJ,Av. República do Chile, nº 230 - Rio de Janeiro - RJ,Av. de Pinedo, nº 228 - São Paulo - SP,Rua Antônio Vieira, nº 24 - Loja A - Rio de Janeiro - RJ,Av. das Américas, nº 15.545 - Rio de Janeiro - RJ,Av. Santa Catarina, 287 - São Paulo - SP,Rua Alves Guimarães, nº 50, Pinheiros - SP,Rua Oscar Freire, 585, Jardins,Rua Floriano Peixoto 00915 - CE,Rua João de Almeida, 72 - RJ,Av. Paulista, 726 - L1 - SP,Av. Rio Branco, 311-B - Rio de Janeiro - RJ,Est. Rio do A, 1131 - Campo Grande - RJ,Av. do Cursino, nº 1348 - São Paulo - SP,R. Pedro Vicente, 222 - São Paulo - SP,Av. do Imperador, 3892 - São Paulo/SP,EQ 406/407-SUL  Lote 1 - Brasília - DF,Av. Brigadeiro Faria Lima, 2232,Praça Tiradentes, 85 - MG,Rua Buenos Aires, 48 - RJ,Av Paulista 447 Loja - SP,Av. Rio Branco, nº 1.675 - loja - São Paulo - SP,Rua Visconde de Pirajá, nº 127 - Rio de Janeiro - RJ,Avenida das Esmeraldas, 512 - Osasco - SP,Rua das Palmeiras, nº 233 - loja - São Paulo - SP,Rua Santa Filomena, nºs 677, 687 e 697, Centro - SBC - SP,R. Marechal Deodoro - SP,Av. Liberdade, 151 - SP,Av. Mateo Bei 3286 - SP,Rua da Quitanda, 70 - RJ,Estrada de Taipas, 355 - São Paulo/SP,Rua Salvador Gianetti, nº 436 - São Paulo - SP,Rua Paes Leme, 250/258 - São Paulo - SP,Av. Indianópolis, nº 2.125 - São Paulo - SP,Via Anchieta, nº 1.558 - São Paulo - SP,Estrada do Pernambuco, nº 500 - Guarujá - SP,Av. Afrânio de Melo Franco, 131 - Leblon - RJ,Rua Pedro I 00373 - CE,Praça Visconde de Mauá, 20 - SP,Av Eng. Luiz Carlos Berrini, 1307 - SP,Av. Marechal Câmara, nº 160 - Rio de Janeiro - RJ,Rua Sesefredo Klein Doll, 12 - Embu-Guaçu - SP,Av. Maria Luiza Americano, 1688 - São Paulo/SP,Lg. Páteo do Colégio, 1 - São Paulo - SP,Av. Mateo Bei, 413 - São Paulo/SP,Av. Paulista, 1.227,Rua Haddock Lobo, 1573, Jardins,Av. João Pinheiro, 500 - MG,Av. Rio Branco, 115 - RJ,Av. Cons. Rodrigues Alves, 53 - SP,Av. Sto. Amaro, 3332 - SP,Rua Mariz e Barros, nº 79 - Rio de Janeiro - RJ,Av. Imirim, nº 1.271 - São Paulo - SP,Rua Dias da Cruz, nº 28-A - Rio de Janeiro - RJ,Av. 1, 500  Rio Claro - SP,Rua Desembargador Góes Cavalcante, nº 261 - Recife - PE,Av. Duque de Caxias - SP,R Barao de Jundiai 884 - SP,Rua Dr. Feliciado Sodré, 111 - RJ,Rua 7 de Setembro, 1100 - RS,R. Cel. Souza Franco, 115 - Suzano - SP,R. Santos Dumont, 599 - Ferraz de Vasconcelos/SP,Alameda Santo Ângelo, 118 - Mogi das Cruzes - SP,Rua Guerino Giovani Leardini, nº 63/67 - São Paulo - SP,Av. Senador Queiroz, nº 85 a 111 - Lj 1 a 3 - São Paulo - SP","2023-04-13 00:29:07"
"AGRX11","Híbrido",10.84,8.63,7.89,1.05,59035000,101605,0,0,0,0,0,"","2023-04-13 00:29:07"
"AIEC11","Lajes Corporativas",60.49,15.19,14.57,0.64,291863000,380971,2,12387.4,2260.9,18.25,0,"Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP,Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ","2023-04-13 00:29:07"
"ALMI11","Lajes Corporativas",780,2.03,0,0.39,86718100,22214,1,1915.36,171.58,8.96,97.07,"Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004","2023-04-13 00:29:07"
